steps,Achem0,Achem1,Achem2,Achem3,Achem4,Achem5,Achem6,Achem7,AreactRate,Bchem0,Bchem1,Bchem2,Bchem3,Bchem4,Bchem5,Bchem6,Bchem7,BreactRate,Cchem0,Cchem1,Cchem2,Cchem3,Cchem4,Cchem5,Cchem6,Cchem7,CreactRate,Dchem0,Dchem1,Dchem2,Dchem3,Dchem4,Dchem5,Dchem6,Dchem7,DreactRate,B1thres,B1chance,C1thres,C1chance,C2thres,C2chance,C3thres,C3chance,D1thres,D1chance,D2thres,D2chance,zeros
114,0,0,0,0,0,4,21,0,50,21,0,0,0,0,0,0,6,54,6,9,15,0,0,0,0,0,58,17,15,0,0,0,0,0,0,59,100,50,100,50,100,50,100,50,100,50,100,50,0
115,0,0,0,0,0,4,21,0,52,21,0,0,0,0,0,0,7,53,5,9,14,0,0,0,0,0,56,17,16,0,0,0,0,0,0,58,100,50,100,50,100,50,100,50,100,50,100,50,0
116,0,0,0,0,0,4,21,0,50,21,0,0,0,0,0,0,6,54,5,9,14,0,0,0,0,0,56,17,15,0,0,0,0,0,0,59,100,50,100,50,100,50,100,50,100,50,100,50,0
117,0,0,0,0,0,4,21,0,52,21,0,0,0,0,0,0,7,53,4,8,13,0,0,0,0,0,53,17,16,0,0,0,0,0,0,58,100,50,100,50,100,50,100,50,100,50,100,50,0
118,0,0,0,0,0,4,21,0,50,21,0,0,0,0,0,0,7,55,5,9,14,0,0,0,0,0,53,17,16,0,0,0,0,0,0,60,100,50,100,50,100,50,100,50,100,50,100,50,0
119,0,0,0,0,0,4,21,0,52,21,0,0,0,0,0,0,7,53,4,8,13,0,0,0,0,0,53,16,16,0,0,0,0,0,0,59,100,50,100,50,100,50,100,50,100,50,100,50,0
120,0,0,0,0,0,4,21,0,50,21,0,0,0,0,0,0,7,55,5,9,14,0,0,0,0,0,53,17,17,0,0,0,0,0,0,59,100,47,100,47,100,47,100,47,100,47,100,47,0
121,0,0,0,0,0,4,21,0,52,21,0,0,0,0,0,0,7,53,4,8,13,0,0,0,0,0,53,16,16,0,0,0,0,0,0,59,100,47,100,47,100,47,100,47,100,47,100,47,0
122,0,0,0,0,0,4,22,0,51,21,0,0,0,0,0,0,7,55,5,9,14,0,0,0,0,0,53,17,17,0,0,0,0,0,0,59,100,45,100,45,100,45,100,45,100,45,100,45,0
123,0,0,0,0,0,4,22,0,53,21,0,0,0,0,0,0,8,54,4,8,13,0,0,0,0,0,53,16,16,0,0,0,0,0,0,59,100,45,100,45,100,45,100,45,100,45,100,45,0
